total_cost,ww_cost,mf_cost,overtime_cost,overflow_events,mf_trips,day
81001.29506944444,28101.295069444444,52900.0,0.0,22,23,1
71801.29506944444,28101.295069444444,43700.0,266.38986111111114,19,19,2
64901.295069444444,28101.295069444444,36800.0,676.6915277777775,15,16,3
74101.29506944444,28101.295069444444,46000.0,74.76354166666664,20,20,4
71801.29506944444,28101.295069444444,43700.0,415.86909722222214,18,19,5
67201.29506944444,28101.295069444444,39100.0,88.76201388888882,17,17,6
71801.29506944444,28101.295069444444,43700.0,384.8577777777775,19,19,7
74101.29506944444,28101.295069444444,46000.0,320.7406944444442,19,20,8
67201.29506944444,28101.295069444444,39100.0,450.0338194444444,16,17,9
67201.29506944444,28101.295069444444,39100.0,659.0981944444445,17,17,10
58001.295069444444,28101.295069444444,29900.0,452.2004861111111,12,13,11
71801.29506944444,28101.295069444444,43700.0,389.9665972222223,17,19,12
71801.29506944444,28101.295069444444,43700.0,236.36256944444446,16,19,13
64901.295069444444,28101.295069444444,36800.0,353.5873611111114,16,16,14
64901.295069444444,28101.295069444444,36800.0,618.1635416666669,15,16,15
55701.295069444444,28101.295069444444,27600.0,685.9576388888886,12,12,16
71801.29506944444,28101.295069444444,43700.0,209.7206944444444,18,19,17
81001.29506944444,28101.295069444444,52900.0,79.48597222222214,21,23,18
81001.29506944444,28101.295069444444,52900.0,45.39618055555559,23,23,19
67201.29506944444,28101.295069444444,39100.0,277.8695833333332,16,17,20
64901.295069444444,28101.295069444444,36800.0,154.24951388888877,16,16,21
60301.295069444444,28101.295069444444,32200.0,592.7196527777779,14,14,22
78701.29506944444,28101.295069444444,50600.0,223.8275,20,22,23
76401.29506944444,28101.295069444444,48300.0,29.367361111111045,20,21,24
67201.29506944444,28101.295069444444,39100.0,279.1641666666666,16,17,25
71801.29506944444,28101.295069444444,43700.0,623.1179861111109,18,19,26
71801.29506944444,28101.295069444444,43700.0,238.4154861111111,19,19,27
71801.29506944444,28101.295069444444,43700.0,568.4033333333333,17,19,28
74101.29506944444,28101.295069444444,46000.0,131.35236111111107,19,20,29
71801.29506944444,28101.295069444444,43700.0,375.2756944444444,18,19,30
74101.29506944444,28101.295069444444,46000.0,74.76354166666664,20,20,31
67201.29506944444,28101.295069444444,39100.0,222.38666666666657,17,17,32
62601.295069444444,28101.295069444444,34500.0,433.285486111111,15,15,33
71801.29506944444,28101.295069444444,43700.0,546.5651388888887,19,19,34
64901.295069444444,28101.295069444444,36800.0,454.75624999999997,16,16,35
71801.29506944444,28101.295069444444,43700.0,240.31402777777765,19,19,36
69501.29506944444,28101.295069444444,41400.0,474.18854166666665,18,18,37
62601.295069444444,28101.295069444444,34500.0,418.1531249999999,15,15,38
69501.29506944444,28101.295069444444,41400.0,534.4173611111108,16,17,39
