0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.0,1433.43,1706.49,1602.7,860.59,1071.61,2033.19,2208.22,1994.62,1646.53,1006.2,1099.33,1335.95,1139.93,1324.55,928.31,868.51,1445.34,1159.05,1510.25,2311.62,1780.82,268.59,1873.53,1106.84,1626.94,1861.14,1621.4,2141.3,1888.81,1611.29,1339.88,2080.78,1160.13,1169.15,1305.97,1370.16,1894.38,773.21,1808.8,1843.95,645.0,702.87,830.97,533.95,1415.79,1795.03,548.23,1101.25,2169.47,1246.82
1444.6,0.0,2591.67,1413.13,1230.07,883.78,2967.47,1346.81,2928.9,2531.7,1940.48,2033.61,2270.23,2025.1,1379.26,1862.59,1802.79,2379.63,2044.22,651.28,3245.91,2715.1,1309.77,2807.81,2041.12,2561.23,2795.42,1195.95,3075.58,1174.12,2545.57,2225.05,3015.07,1022.48,1085.33,352.42,437.14,823.9,1635.22,972.16,2778.24,1957.99,1850.2,1060.86,1582.27,2350.08,2729.32,1507.86,1220.14,1308.05,517.62
1743.13,2700.79,0.0,3171.77,1617.66,2312.34,882.68,3265.06,1102.21,382.05,1843.47,1964.97,1704.31,730.32,2081.62,1860.77,1826.04,2310.99,734.62,3079.31,2742.35,2549.53,2003.32,2304.25,1664.74,2492.59,602.39,3190.47,1752.87,3457.88,973.92,604.42,2565.92,1917.2,1926.22,2498.48,2358.61,2497.7,2381.14,3377.87,2772.76,1614.56,1277.04,2400.04,1791.07,2281.44,1406.61,1515.73,2670.32,3226.31,2434.71
1590.71,1467.59,3020.31,0.0,1892.74,1412.25,3113.57,2565.2,3075.01,3147.66,2086.58,2179.72,2416.34,2422.34,2356.7,2008.7,1948.9,2525.73,2739.37,813.02,3392.01,2861.21,1455.87,2953.92,2187.23,2707.33,2941.52,346.0,3221.69,470.01,2691.68,2677.64,3161.17,1783.3,2337.74,1662.95,1727.13,2251.35,1436.16,749.7,2924.34,2104.1,2260.13,1054.59,1728.37,2496.18,2875.42,1556.37,632.36,2526.44,1582.09
890.65,1373.48,1548.26,1928.87,0.0,846.86,2368.14,1937.75,2329.57,1488.29,1623.08,1716.21,1773.7,981.69,775.73,1545.19,1485.39,2062.23,1000.81,2077.26,2928.51,2397.7,984.32,2490.41,1668.02,2243.83,2196.09,1947.57,2476.25,2214.97,1946.24,1181.64,2697.67,589.89,473.46,1171.17,1031.3,1170.39,1423.04,2375.82,2460.83,1235.04,806.79,1220.23,1150.02,2032.68,2129.98,464.45,1427.41,1899.0,1107.4
1018.43,876.36,2448.03,1451.78,859.42,0.0,2541.3,1651.16,2502.73,2263.12,1514.31,1607.44,1844.06,1850.06,1110.67,1436.42,1376.62,1953.45,1775.64,1138.41,2819.73,2288.93,883.59,2381.64,1614.95,2135.05,2369.25,1470.48,2649.41,1638.93,2119.4,2105.36,2588.89,410.53,711.6,748.91,813.1,1337.31,1209.04,1436.97,2352.06,1531.82,1581.61,634.69,1156.09,1923.9,2303.14,950.29,950.33,1612.41,559.67
2231.48,3095.82,851.97,3265.09,2463.9,2734.0,0.0,3870.61,403.48,1142.68,1936.79,2058.29,1923.67,1527.94,2927.86,1954.09,1919.36,2404.31,1586.59,3172.64,2310.27,2117.45,2096.64,1872.18,1758.06,2521.1,448.48,3283.79,1320.8,3551.2,533.39,1264.26,2133.84,2763.44,2772.46,2968.37,3032.55,3556.77,2474.46,3471.2,2340.68,1920.96,1923.89,2493.36,1884.39,2373.26,974.53,2541.04,2763.64,3831.86,2909.21
2251.34,1512.22,3262.07,2587.34,1900.48,1690.52,3774.2,0.0,3735.64,3202.1,2747.21,2840.34,3076.97,2695.51,2049.66,2669.32,2609.52,3186.36,2714.63,2085.68,4052.64,3521.83,2116.5,3614.55,2847.85,3367.96,3602.15,2606.04,3882.31,2435.4,3352.31,2895.45,3821.8,1692.89,1755.74,1371.72,1212.86,1346.14,2441.95,2270.52,3584.97,2764.73,2520.6,1867.59,2389.0,3156.81,3536.05,2178.27,2281.38,212.91,1507.11
2144.32,3008.66,1118.36,3177.93,2376.74,2646.84,366.55,3783.46,0.0,1453.96,1849.63,1971.13,1836.51,1440.78,2840.7,1866.93,1832.2,2317.15,1894.07,3085.48,2223.11,2030.29,2009.48,1785.02,1670.9,2433.94,635.45,3196.64,1233.64,3464.04,446.23,1625.27,2046.68,2676.28,2685.3,2881.21,2945.39,3469.61,2387.3,3384.03,2253.52,1833.8,1836.72,2406.2,1797.23,2286.1,887.37,2453.88,2676.48,3744.7,2822.05
1660.58,2618.24,369.03,2964.93,1535.12,2229.8,1183.91,3182.52,1471.24,0.0,1984.68,2106.18,1844.08,811.63,1999.08,2001.97,1967.24,2452.19,550.93,3322.03,3151.78,2787.67,1894.47,2713.68,1805.94,2633.79,971.42,2983.63,2162.3,3251.03,1342.95,632.11,2975.35,1834.66,1843.68,2415.94,2276.07,2415.15,2522.34,3620.59,2850.8,1627.6,1189.47,2541.25,1932.27,2422.64,1816.04,1433.18,2463.47,3143.76,2352.17
