0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.0,17650.99,16889.38,15959.33,8735.77,11729.52,23984.93,29200.46,22766.8,16451.47,8971.83,12046.37,13652.75,10683.33,15183.14,8360.54,7995.65,15187.65,11539.12,14385.57,27174.03,20408.19,1769.57,23250.11,9635.88,16416.4,20722.91,14568.94,27396.13,18177.98,20083.04,12117.99,23842.48,13724.3,12256.87,16367.36,17272.44,23188.24,6042.33,17476.55,18851.35,4355.27,6265.93,8099.32,3227.92,15038.08,23165.12,4207.73,10809.17,29094.14,14192.79
17690.64,0.0,31988.83,12352.32,15342.45,9497.79,38230.05,15282.21,37011.92,31550.92,23216.95,26291.49,27897.87,25782.79,16739.05,22605.66,22240.77,29432.77,26638.58,5816.45,41419.15,34653.31,16539.97,37495.23,23881.0,30661.52,34968.03,10043.9,41641.25,10984.66,34328.16,27217.44,38087.61,11833.51,12589.42,2403.85,2929.94,7036.05,18875.71,8972.03,33096.48,22870.88,22827.05,11790.77,19105.26,29283.2,37410.24,18417.66,10254.5,15175.89,4400.2
16620.95,31070.93,0.0,32870.27,17300.25,25305.51,8196.32,40816.55,9453.85,3544.35,15986.94,19057.73,13374.69,5373.62,23747.62,16640.36,16290.04,22199.01,5922.96,31296.51,32026.46,27600.52,19489.0,28102.54,14098.56,23427.76,5396.3,31479.87,17273.97,35088.92,8275.75,3728.52,29079.11,22288.78,20821.35,29283.61,28474.16,28256.63,23744.74,34387.49,31993.84,13097.34,9702.84,25010.26,16536.54,22049.44,13042.95,15669.75,27720.1,40710.23,28021.19
16000.13,12441.25,31920.02,0.0,17022.11,12493.54,36539.54,29664.25,35321.41,33825.65,21526.44,24600.97,26207.36,27467.52,23469.47,20915.15,20550.25,27742.26,30039.72,6759.31,39728.64,32962.8,14849.46,35804.71,22190.49,28971.01,33277.52,2831.11,39950.74,4164.26,32637.64,29110.1,36397.09,15468.65,26976.95,16831.15,17736.23,23652.03,12911.35,6934.99,31405.96,21180.36,23082.06,9147.94,17414.74,27592.69,35719.73,14190.79,5776.36,29557.93,13785.39
8659.37,14957.49,17289.53,17465.28,0.0,6887.0,25199.49,24703.11,23981.36,16851.61,14717.27,17791.81,17459.85,11083.48,6970.11,14105.98,13741.08,20933.09,11939.27,25132.34,32919.46,26153.63,8148.03,28995.55,17089.83,22161.84,21937.46,16074.89,28610.69,19683.94,21297.59,12518.13,29587.92,6175.33,3887.21,13170.17,12360.72,12143.19,12121.87,28223.33,24596.79,10502.28,8127.74,10091.6,10907.3,20783.52,24379.67,3718.36,12315.12,24596.79,11907.75
11144.55,9627.82,27064.44,12568.43,6833.21,0.0,31683.96,21177.29,30465.83,25162.24,16670.86,19745.4,21351.78,22611.94,10350.38,16059.57,15694.68,22886.68,20249.9,10145.73,34873.06,28107.22,9993.88,30949.14,17334.91,24115.43,28421.94,11178.03,35095.16,15249.35,27782.07,24254.52,31541.51,3140.89,5712.18,8344.18,9249.26,15165.06,12329.62,13236.71,26550.38,16324.79,16438.37,5244.68,12559.17,22737.11,30864.15,7427.45,7418.26,21070.96,3709.85
24831.92,38754.18,8079.43,37062.52,25782.81,32832.71,0.0,50303.65,3462.41,10957.25,20179.19,23249.98,19202.95,14239.18,32230.18,20832.61,20482.29,26391.26,14002.39,35488.76,28409.6,23983.66,23681.25,24485.68,18290.82,30581.98,2875.52,35672.13,13657.11,39281.18,4639.2,11148.97,25462.25,30771.34,29303.91,37470.55,38375.63,44291.43,27937.0,38579.75,28376.98,19639.82,18014.85,29202.51,20728.79,29207.36,9426.09,27813.11,31912.36,50197.33,35295.98
29507.41,15923.63,41391.31,29903.99,24744.93,21314.56,50046.82,0.0,48828.69,40953.4,35033.71,38108.26,39714.64,35185.27,26141.53,34422.43,34057.53,41249.54,36041.05,21307.73,53235.92,46470.08,28356.74,49312.0,35697.77,42478.29,46784.8,28513.59,53458.02,29198.05,46144.93,36619.92,49904.37,21235.99,21991.9,14231.9,13556.41,12796.73,30692.48,26923.32,44913.24,34687.64,32229.53,23607.54,30922.02,41099.97,49227.01,27820.14,27078.84,1439.72,18194.5
23341.47,37263.73,9444.51,35572.07,24292.36,31342.25,3195.4,48813.2,0.0,12949.53,18688.74,21759.53,17712.49,12748.73,30739.72,19342.16,18991.84,24900.81,17375.84,33998.31,26919.14,22493.21,22190.8,22995.22,16800.37,29091.52,4426.09,34181.67,12166.65,37790.72,3148.74,14157.16,23971.8,29280.88,27813.46,35980.09,36885.17,42800.97,26446.54,37089.29,26886.53,18149.37,16524.4,27712.06,19238.34,27716.9,7935.64,26322.65,30421.9,48706.88,33805.53
16478.5,30928.48,3524.35,29485.61,17157.79,25163.05,11127.44,40674.09,12978.21,0.0,18116.96,21187.75,16583.63,6983.53,23605.16,18770.38,18420.06,24329.03,5101.43,41103.33,37896.41,29549.57,18641.29,33972.49,16228.59,25557.78,8920.65,28095.21,23143.92,31704.26,11800.1,5436.07,34949.07,22146.32,20678.89,29141.15,28331.7,28114.18,25874.77,44194.31,27992.73,15509.31,10520.24,27140.28,18666.56,24179.46,18912.91,15527.29,24335.44,40567.77,27878.74
