region,routes,total_duration,total_demand
0,"['Distribution Centre Auckland', 'Woolworths Grey Lynn', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",14170.27,16.55
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland Victoria Street West', 'Woolworths Pt Chevalier', 'Distribution Centre Auckland']",16012.65,19.75
0,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",13246.79,16.05
0,"['Distribution Centre Auckland', 'Woolworths Auckland Victoria Street West', 'Woolworths St Lukes', 'Distribution Centre Auckland']",13674.220000000001,16.35
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",13639.29,16.1
0,"['Distribution Centre Auckland', 'Woolworths Mt Eden', 'Woolworths Auckland Victoria Street West', 'FreshChoice Epsom', 'Distribution Centre Auckland']",16190.29,20.0
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland Victoria Street West', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",15231.48,16.3
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Auckland City', 'Distribution Centre Auckland']",15374.86,19.05
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Auckland City', 'Distribution Centre Auckland']",15374.86,19.05
0,"['Distribution Centre Auckland', 'Woolworths Auckland City', 'Woolworths Ponsonby', 'FreshChoice Epsom', 'Distribution Centre Auckland']",16376.8,19.8
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland City', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",15523.31,19.15
0,"['Distribution Centre Auckland', 'Woolworths Auckland City', 'Distribution Centre Auckland']",8073.57,7.4
0,"['Distribution Centre Auckland', 'Woolworths Auckland City', 'Woolworths Grey Lynn', 'Distribution Centre Auckland']",14243.680000000002,16.200000000000003
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland City', 'Woolworths Pt Chevalier', 'Distribution Centre Auckland']",15977.08,19.4
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland City', 'Woolworths Newmarket', 'Distribution Centre Auckland']",15794.210000000003,19.700000000000003
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland City', 'Woolworths St Lukes', 'Distribution Centre Auckland']",16219.05,20.0
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Auckland City', 'FreshChoice Epsom', 'Distribution Centre Auckland']",16235.55,19.75
0,"['Distribution Centre Auckland', 'Woolworths Mt Eden', 'Woolworths Auckland City', 'FreshChoice Epsom', 'Distribution Centre Auckland']",16310.25,19.65
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland City', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",15195.91,15.95
